Plate,Well,Site,Blurry,Saturated
33096,B05,5,1,0
33115,D06,4,1,0
33115,G22,4,1,0
33096,G15,5,1,0
33115,J07,2,1,0
33096,I05,5,1,0
33088,E03,2,0,1
33096,C20,1,1,0
33115,B04,4,1,0
33096,O23,3,1,0
33096,C13,3,1,0
33115,K08,1,1,0
33096,D04,3,1,0
33115,K03,1,1,0
33088,M02,6,1,0
33096,D08,1,1,0
33115,K18,1,1,0
33096,C15,2,1,0
33096,G03,6,1,0
33096,O15,1,1,0
33115,B08,1,1,0
33096,J03,4,1,0
33088,D23,5,1,0
33115,K19,5,1,0
33096,B19,1,1,0
33115,J07,3,1,0
33115,L02,3,1,0
33088,F02,3,1,0
33088,A02,1,0,1
33115,K08,2,1,0
33096,L04,1,1,0
33115,B21,3,1,0
33096,C23,6,1,0
33115,I18,1,1,0
33096,M11,4,1,0
33115,B16,3,1,0
33115,D06,5,1,0
33096,H01,3,1,0
33096,N02,4,1,0
33096,D08,2,1,0
33115,N06,1,1,0
33115,J07,4,1,0
33115,K18,2,1,0
33096,O23,4,1,0
33115,I03,1,1,0
33096,D04,4,1,0
33088,A07,2,0,1
33115,G22,5,1,0
33115,N01,1,0,1
33115,C19,1,1,0
33088,K02,4,0,1
33115,D01,4,1,0
33096,B02,4,1,0
33096,B19,2,1,0
33115,K19,6,1,0
33096,C13,4,1,0
33115,M16,6,1,0
33096,C20,3,1,0
33096,K03,1,1,0
33088,C02,6,1,0
33096,O15,2,1,0
33096,C15,3,1,0
33096,K04,5,1,1
33088,B08,4,0,1
33115,H08,6,1,0
33115,N24,3,1,0
33115,A18,4,0,1
33096,J03,5,1,0
33115,K03,3,1,0
33115,B21,4,1,0
33115,B03,1,1,0
33088,F02,4,1,0
33096,D14,4,0,1
33115,K08,4,1,0
33096,L04,2,1,0
33115,I18,2,1,0
33115,B16,4,1,0
33115,C19,2,1,0
33115,N11,2,0,1
33115,K18,3,1,0
33115,N06,2,1,0
33115,G22,1,1,0
33096,M11,5,1,0
33115,B05,1,1,0
33088,O21,1,0,1
33115,C02,3,0,1
33096,J03,6,1,0
33115,C09,1,0,1
33096,O23,5,1,0
33115,I03,2,1,0
33096,C13,5,1,0
33096,B02,5,1,0
33096,D04,5,1,0
33115,D01,5,1,1
33115,B08,4,1,0
33115,F08,6,1,0
33096,B19,3,1,0
33096,C20,4,1,0
33115,N01,2,1,0
33115,L02,6,1,0
33096,H01,4,1,0
33115,K03,4,1,0
33088,C01,1,0,1
33115,J09,1,1,0
33115,B21,5,1,0
33096,O15,3,1,0
33115,G22,2,1,0
33096,K04,6,1,1
33096,D03,1,1,0
33096,N02,6,1,0
33115,K08,6,1,0
33115,C21,1,1,0
33115,H19,1,1,0
33115,J04,1,1,0
33115,C19,3,1,0
33096,O23,6,1,0
33115,K18,4,1,0
33115,B16,5,1,0
33096,L04,3,1,0
33096,A08,1,0,1
33115,N06,3,1,0
33096,J02,1,1,0
33088,N02,1,1,0
33118,C14,3,1,0
33096,B02,6,1,0
33118,B05,1,1,0
33115,G02,1,1,1
33118,C04,3,1,0
33115,D07,2,1,0
33088,B01,5,0,1
33115,C16,1,1,0
33115,I18,4,1,0
33115,J21,1,1,0
33118,C12,5,1,0
33118,E09,5,1,0
33096,D04,6,1,0
33115,I03,3,1,0
33115,J04,2,1,0
33118,F07,3,1,0
33096,B19,4,1,0
33115,D01,6,1,0
33115,L03,1,0,1
33096,H01,5,1,0
33115,C21,2,1,0
33115,G02,2,1,0
33115,I21,4,0,1
33096,D03,2,1,0
33115,K18,5,1,0
33115,H19,2,1,0
33096,N03,1,1,0
33096,K03,4,1,0
33088,L01,6,1,0
33096,O15,4,1,0
33115,B16,6,1,0
33115,C06,1,1,0
33115,J09,2,1,0
33115,C19,4,1,0
33096,I08,1,1,0
33096,L04,4,1,0
33115,A02,1,0,1
33115,B22,1,1,0
33115,N06,4,1,0
33118,B03,4,1,0
33118,C14,4,1,0
33115,B05,4,1,0
33115,K17,1,1,0
33115,I18,5,1,0
33118,I10,3,1,0
33115,N10,1,1,0
33115,J21,2,1,0
33115,C16,2,1,0
33088,N02,2,1,0
33115,D07,3,1,0
33118,J08,1,1,0
33115,G05,1,1,0
33118,B05,2,1,0
33118,C04,4,1,0
33115,C21,3,1,0
33115,L03,2,0,1
33096,C17,1,1,0
33118,C18,1,1,0
33118,C12,6,1,0
33115,J04,3,1,0
33115,B01,4,0,1
33118,I09,1,0,1
33115,I03,4,1,0
33118,F07,4,1,0
33118,K09,1,1,0
33115,N10,2,1,0
33115,I18,6,1,0
33096,M06,6,1,0
33096,J02,3,1,0
33118,I03,6,1,0
33118,K02,3,1,0
33115,H19,3,1,0
33118,L10,1,1,0
33096,O15,5,1,0
33115,B03,4,1,0
33115,J21,3,1,0
33115,K17,2,1,0
33096,I08,2,1,0
33118,K07,4,1,0
33115,J09,3,1,0
33115,C16,3,1,0
33118,B07,1,1,0
33118,K05,6,1,0
33118,B03,5,1,0
33118,L18,3,1,0
33088,P04,2,0,1
33115,D07,4,1,0
33115,C21,4,1,0
33118,J08,2,1,0
33115,I16,5,0,1
33118,B05,3,1,0
33115,C19,6,1,0
33118,C04,5,1,0
33115,G05,2,1,0
33118,I10,4,1,0
33118,L10,2,1,0
33115,O21,1,1,0
33118,C18,2,1,0
33118,D19,1,1,0
33118,N08,5,1,0
33096,L16,1,0,1
33118,I19,1,1,0
33115,C06,3,1,0
33115,N08,4,0,1
33115,N06,6,1,0
33118,C14,6,1,0
33115,N10,3,1,0
33115,K19,2,1,0
33115,J04,4,1,0
33118,F07,5,1,0
33118,H08,1,1,0
33115,H19,4,1,0
33115,P20,2,0,1
33118,K02,4,1,0
33115,O21,2,1,0
33115,J21,4,1,0
33118,K07,5,1,0
33096,J02,4,1,0
33118,I19,2,1,0
33118,M14,4,1,0
33096,O12,4,0,1
33115,C16,4,1,0
33096,O22,1,1,0
33118,L01,6,1,0
33115,P03,5,0,1
33118,B03,6,1,0
33115,I03,6,1,0
33096,O15,6,1,0
33115,L03,4,0,1
33118,B05,4,1,0
33115,F21,2,1,0
33118,D19,2,1,0
33118,L18,4,1,0
33115,C03,1,1,0
33118,C04,6,1,0
33118,N08,6,1,0
33118,C18,3,1,0
33118,F06,1,1,0
33115,K19,3,1,0
33118,P02,3,0,1
33115,G05,3,1,0
33115,N10,4,1,0
33115,K17,4,1,0
33115,J09,4,1,0
33118,J08,4,1,0
33118,J05,3,0,1
33118,K09,4,1,0
33115,C06,4,1,0
33115,M16,1,1,0
33118,M03,1,1,0
33115,B03,6,1,0
33118,F07,6,1,0
33115,J21,5,1,0
33118,H08,2,1,0
33118,I19,3,1,0
33118,K07,6,1,0
33118,L10,4,1,0
33115,N13,5,0,1
33115,H19,6,1,0
33118,B07,4,1,0
33118,C18,4,1,0
33118,H05,1,1,0
33118,O15,1,1,0
33115,C03,2,1,0
33118,K05,1,1,0
33115,K17,5,1,0
33118,N09,1,1,0
33096,M02,1,1,0
33115,O21,4,1,0
33118,B05,5,1,0
33118,K19,4,1,1
33096,O22,2,1,0
33118,O10,1,1,0
33118,K09,5,1,0
33115,G05,4,1,0
33118,J08,5,1,0
33118,I10,6,1,0
33115,F01,1,0,1
33115,H08,1,1,0
33115,M16,2,1,0
33115,J09,5,1,0
33118,L10,5,1,0
33115,N10,6,1,0
33118,D06,1,1,0
33115,N13,6,0,1
33118,I19,4,1,0
33118,H08,3,1,0
33115,J04,6,1,0
33118,C18,5,1,0
33118,K02,6,1,0
33115,M01,1,0,1
33118,L18,6,1,0
33115,B02,1,1,0
33118,N09,2,1,0
33115,O21,5,1,0
33118,O15,2,1,0
33118,K05,3,1,0
33118,B05,6,1,0
33118,J08,6,1,0
33118,K09,6,1,0
33096,M02,2,1,0
33118,I10,1,1,0
33118,H05,3,1,0
33118,O10,2,1,0
33118,F06,3,1,0
33096,O22,3,1,0
33118,D19,4,1,0
33118,I03,1,1,0
33115,M16,3,1,0
33118,N09,3,1,0
33115,H08,2,1,0
33118,E09,1,1,0
33118,I19,5,1,0
33118,D06,2,1,0
33118,I11,1,1,0
33118,C18,6,1,0
33118,K05,4,1,0
33118,B21,1,1,0
33115,B02,2,1,0
33118,M03,4,1,0
33115,M16,4,1,0
33118,H08,4,1,0
33118,O15,3,1,0
33118,H05,4,1,0
33118,K08,3,1,0
33118,O10,3,1,0
33118,N09,4,1,0
33118,D19,5,1,0
33118,I03,2,1,0
33118,C12,1,1,0
33118,D06,3,1,0
33115,L02,1,1,0
33118,C19,1,0,1
33118,N06,1,1,0
33118,I11,2,1,0
33118,B21,2,1,0
33118,F06,4,1,0
33118,E09,3,1,0
33096,O22,4,1,0
33118,O15,4,1,0
33118,K08,4,1,0
33118,C12,2,1,0
33118,B04,4,1,0
33118,B03,1,1,0
33118,O10,4,1,0
33118,D08,2,1,0
33118,F05,4,1,0
33115,L02,2,1,0
33118,D19,6,1,0
33118,K07,1,1,0
33118,H08,6,1,0
33118,C04,1,1,0
33115,M19,6,0,1
33118,D06,4,1,0
33115,J01,6,1,0
33118,E09,4,1,0
33118,F06,5,1,0
33118,I11,3,1,0
33118,I03,4,1,0
33118,B03,2,1,0
33118,K08,5,1,0
33118,O15,5,1,0
33118,B21,4,1,0
33118,N06,3,1,0
33118,K07,2,1,0
33118,N01,3,0,1
33118,C04,2,1,0
33118,C12,4,1,0
33118,I11,4,1,0
33118,B01,4,0,1
33118,K08,6,1,0
33118,F06,6,1,0
33118,D06,6,1,0
33118,N06,4,1,0
33118,J07,4,1,0
33118,C14,1,1,0
33118,N08,1,1,0
33118,L18,1,1,0
33118,N06,5,1,0
33118,I11,6,1,0
33118,F07,1,1,0
33118,C14,2,1,0
33118,P21,5,1,0
33118,N06,6,1,0
33118,N08,3,1,0
33118,K02,1,1,0
33118,K02,2,1,0
33118,N08,4,1,0
