Plate,Well,QCFlag_isSaturated,QCFlag_isBlurry
41744,a01,0,0
41744,a02,0,0
41744,a03,0,0
41744,a04,1,0
41744,a05,0,0
41744,a06,0,0
41744,a07,0,0
41744,a08,0,0
41744,a09,0,0
41744,a10,0,0
41744,a11,0,0
41744,a12,0,0
41744,a13,0,0
41744,a14,0,0
41744,a15,0,0
41744,a16,0,0
41744,a17,0,0
41744,a18,0,0
41744,a19,0,0
41744,a20,0,0
41744,a21,0,0
41744,a22,0,0
41744,a23,1,0
41744,a24,0,0
41744,b01,0,0
41744,b02,0,0
41744,b03,0,0
41744,b04,0,0
41744,b05,1,0
41744,b06,0,0
41744,b07,0,0
41744,b08,0,0
41744,b09,0,0
41744,b10,0,0
41744,b11,0,0
41744,b12,0,0
41744,b13,1,0
41744,b14,0,0
41744,b15,0,0
41744,b16,0,0
41744,b17,0,0
41744,b18,0,0
41744,b19,0,0
41744,b20,0,0
41744,b21,0,0
41744,b22,0,0
41744,b23,0,0
41744,b24,0,0
41744,c01,0,0
41744,c02,0,0
41744,c03,0,0
41744,c04,0,0
41744,c05,0,0
41744,c06,0,0
41744,c07,0,0
41744,c08,0,0
41744,c09,0,0
41744,c10,1,0
41744,c11,0,0
41744,c12,0,0
41744,c13,1,0
41744,c14,0,0
41744,c15,0,0
41744,c16,0,0
41744,c17,0,0
41744,c18,0,0
41744,c19,0,0
41744,c20,0,0
41744,c21,0,0
41744,c22,0,0
41744,c23,1,0
41744,c24,0,0
41744,d01,0,0
41744,d02,0,0
41744,d03,0,0
41744,d04,0,0
41744,d05,0,0
41744,d06,0,0
41744,d07,0,0
41744,d08,0,0
41744,d09,0,0
41744,d10,0,0
41744,d11,0,0
41744,d12,0,0
41744,d13,0,0
41744,d14,0,0
41744,d15,0,0
41744,d16,0,0
41744,d17,0,0
41744,d18,0,0
41744,d19,0,0
41744,d20,0,0
41744,d21,0,0
41744,d22,0,0
41744,d23,0,0
41744,d24,0,0
41744,e01,0,0
41744,e02,0,0
41744,e03,1,0
41744,e04,0,0
41744,e05,0,0
41744,e06,0,0
41744,e07,0,0
41744,e08,0,0
41744,e09,0,0
41744,e10,0,0
41744,e11,0,0
41744,e12,0,0
41744,e13,0,0
41744,e14,0,0
41744,e15,0,0
41744,e16,0,0
41744,e17,0,0
41744,e18,0,0
41744,e19,0,0
41744,e20,0,0
41744,e21,0,0
41744,e22,0,0
41744,e23,0,0
41744,e24,0,0
41744,f01,0,0
41744,f02,0,0
41744,f03,0,0
41744,f04,0,0
41744,f05,0,0
41744,f06,0,0
41744,f07,0,0
41744,f08,0,0
41744,f09,0,0
41744,f10,0,0
41744,f11,0,0
41744,f12,0,0
41744,f13,0,0
41744,f14,0,0
41744,f15,0,0
41744,f16,0,0
41744,f17,0,0
41744,f18,0,0
41744,f19,0,0
41744,f20,0,0
41744,f21,0,0
41744,f22,0,0
41744,f23,0,0
41744,f24,0,0
41744,g01,0,0
41744,g02,0,0
41744,g03,3,0
41744,g04,0,0
41744,g05,0,0
41744,g06,0,0
41744,g07,0,0
41744,g08,0,0
41744,g09,0,0
41744,g10,0,0
41744,g11,1,0
41744,g12,0,0
41744,g13,0,0
41744,g14,0,0
41744,g15,0,0
41744,g16,0,0
41744,g17,0,0
41744,g18,0,0
41744,g19,0,0
41744,g20,0,0
41744,g21,0,0
41744,g22,0,0
41744,g23,0,0
41744,g24,0,0
41744,h01,0,0
41744,h02,0,0
41744,h03,1,0
41744,h04,0,0
41744,h05,0,0
41744,h06,0,0
41744,h07,0,0
41744,h08,0,0
41744,h09,0,0
41744,h10,0,0
41744,h11,0,0
41744,h12,0,0
